name,photo
Environnement,https://res.cloudinary.com/cbretn/image/upload/v1551324911/franceforward/categories/environnement.jpg
Santé,https://res.cloudinary.com/cbretn/image/upload/v1551324960/franceforward/categories/sante%CC%81.jpg
Cohésion Sociale,https://res.cloudinary.com/cbretn/image/upload/v1551325265/franceforward/categories/cohesion.jpg
Épanouissement Personnel,https://res.cloudinary.com/cbretn/image/upload/v1551325426/franceforward/categories/epanouissement.jpg
Justice Sociale,https://res.cloudinary.com/cbretn/image/upload/v1551326009/franceforward/categories/justicesociale.jpg
Éducation,https://res.cloudinary.com/cbretn/image/upload/v1551326074/franceforward/categories/education.jpg
Sécurité,https://res.cloudinary.com/cbretn/image/upload/v1551326122/franceforward/categories/securite.jpg
Patrimoine,https://res.cloudinary.com/cbretn/image/upload/v1551326425/franceforward/categories/patrimoine.png
Institutions,https://res.cloudinary.com/cbretn/image/upload/v1551326687/franceforward/categories/institutions.jpg
